coffee_shop_name,source,location,price_level,price_text,item_name,item_price,item_description
Le Cafe Model Town,Google Maps,"Multan, Pakistan",3,$$$,,,
Le Café Patisserie,Google Maps,"Multan, Pakistan",3,$$$,,,
Multan Café Stop,Google Maps,"Multan, Pakistan",3,$$$,,,
Elclassico,Google Maps,"Multan, Pakistan",3,$$$,,,
The Hamptons Cafe,Google Maps,"Multan, Pakistan",3,$$$,,,
Daily Dose Cafe,Google Maps,"Multan, Pakistan",3,$$$,,,
Do Taa Complex,Google Maps,"Multan, Pakistan",3,$$$,,,
Multan Tea House,Google Maps,"Multan, Pakistan",3,$$$,,,
CafeTime Bakery|Bar|Cafe|Grill,Google Maps,"Multan, Pakistan",3,$$$,,,
Quetta Tea Cafe,Google Maps,"Multan, Pakistan",3,$$$,,,
Sips-N-Smoke,Google Maps,"Multan, Pakistan",3,$$$,,,
Cafe Saints,Google Maps,"Multan, Pakistan",3,$$$,,,
Chaaye Khana Multan,Google Maps,"Multan, Pakistan",3,$$$,,,
Black horse cafe,Google Maps,"Multan, Pakistan",3,$$$,,,
MiniSoft Chill Bar & Cafe,Google Maps,"Multan, Pakistan",3,$$$,,,
Café Mocha & The Bakery + Groceries,Google Maps,"Multan, Pakistan",3,$$$,,,
Coffee Planet,Google Maps,"Multan, Pakistan",3,$$$,,,
Bean Bliss Cafe,Google Maps,"Multan, Pakistan",3,$$$,,,
Cafe Delights,Google Maps,"Multan, Pakistan",3,$$$,,,
Cafe Newyork,Google Maps,"Multan, Pakistan",3,$$$,,,
CAFFE BONITA,Google Maps,"Multan, Pakistan",3,$$$,,,
COFFEE EQUATION,Google Maps,"Multan, Pakistan",3,$$$,,,
Cafe 2 Night Family Restaurant Multan,Google Maps,"Multan, Pakistan",3,$$$,,,
Coffee & Co.,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Nadeem Cafe & Family Restaurant,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Dessert Café,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Gloria Jean's Coffees - Civil Lines,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Gloria Jean’s - Canal Road,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Second Cup Canal Road Faisalabad,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Cafe Eleganza,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Coffee X,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Midnight Cafe,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Hideout Cafe rooftop,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Faisalabad Realtors,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
La Casa De Café,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Gate Cafe,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Chaaye Khana,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Latte e tè,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Nadeem Cafe,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Nectar Bar,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Whytes Coffee,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Café Max,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Artisan Coffee Roaster,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
A. Cafe,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
The Coffee Bean & Tea Leaf,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
once more pan shop,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Coco Rush Café,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Main Street Cafe,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Waqas Cafe 4,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Afters FSD,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Doctor Cafe,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Adreesia cafe,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
Coffee Shop - By The Lounge,Google Maps,"Faisalabad, Pakistan",3,$$$,,,
